tokens,ner_tags
"['Summary', '\n\n', 'Summary', 'Companies', 'Tesla', 'down', 'as', 'Q3', 'deliveries', 'miss', 'market', 'estimates', '\n\n', 'U.S.', 'factory', 'activity', 'slowest', 'in', '~2.5', 'years', 'in', 'Sept', '-ISM', '\n\n', 'Credit', 'Suisse', ',', 'Citi', 'cut', '2022', 'year', '-', 'end', 'target', 'for', 'S&P', '500', '\n\n', 'Indexes', 'up', ':', 'Dow', '2.66', '%', ',', 'S&P', '500', '2.59', '%', ',', 'Nasdaq', '2.27', '%', '\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n', 'Oct', '3', '(', 'Reuters', ')', '-', 'Wall', 'Street', ""'s"", 'three', 'major', 'indexes', 'rallied', 'to', 'close', 'over', '2', '%', 'on', 'Monday', 'as', 'U.S.', 'Treasury', 'yields', 'tumbled', 'on', 'weaker', '-', 'than', '-', 'expected', 'manufacturing', 'data', ',', 'increasing', 'the', 'appeal', 'of', 'stocks', 'at', 'the', 'start', 'of', 'the', 'year', ""'s"", 'final', 'quarter', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['The', 'U.S.', 'stock', 'market', 'has', 'suffered', 'three', 'quarterly', 'declines', 'in', 'a', 'row', 'in', 'a', 'tumultuous', 'year', 'marked', 'by', 'interest', 'rate', 'hikes', 'to', 'tame', 'historically', 'high', 'inflation', ',', 'and', 'concerns', 'about', 'a', 'slowing', 'economy', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'The', 'U.S.', 'yield', 'markets', '(', 'are', ')', 'pulling', 'back', '-', 'that', ""'s"", 'been', 'a', 'positive', '...', 'and', 'that', 'connotes', 'a', 'more', 'risk', '-', 'on', 'environment', ',', '""', 'said', 'Art', 'Hogan', ',', 'chief', 'market', 'strategist', 'at', 'B.', 'Riley', 'Wealth', 'in', 'Boston', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'B-CUSTOM_ROLE', 'I-CUSTOM_ROLE', 'L-CUSTOM_ROLE', 'O', 'B-CUSTOM_ORG', 'I-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'U-CUSTOM_PLACE', 'O']"
"['Register', 'now', 'for', 'FREE', 'unlimited', 'access', 'to', 'Reuters.com', 'Register', '\n\n', 'Further', 'supporting', 'rate', '-', 'sensitive', 'growth', 'stocks', ',', 'the', 'benchmark', 'U.S.', '10', '-', 'year', 'Treasury', 'yield', 'fell', 'after', 'British', 'Prime', 'Minister', 'Liz', 'Truss', 'was', 'forced', 'to', 'reverse', 'course', 'on', 'a', 'tax', 'cut', 'for', 'the', 'highest', 'rate', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ROLE', 'I-CUSTOM_ROLE', 'L-CUSTOM_ROLE', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['All', '11', 'major', 'S&P', '500', '(', '.SPX', ')', 'sectors', 'advanced', 'to', 'positive', 'territory', ',', 'with', 'energy', '(', '.SPNY', ')', 'being', 'the', 'biggest', 'gainer', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Oil', 'majors', 'Exxon', 'Mobil', 'Corp', '(', 'XOM.N', ')', 'and', 'Chevron', 'Corp', 'rose', 'more', 'than', '5', '%', ',', 'tracking', 'a', 'jump', 'in', 'crude', 'prices', 'as', 'sources', 'said', 'the', 'Organization', 'of', 'the', 'Petroleum', 'Exporting', 'Countries', 'and', 'its', 'allies', 'are', 'considering', 'their', 'biggest', 'output', 'cut', 'since', 'the', 'start', 'of', 'the', 'COVID-19', 'pandemic', '.']","['O', 'O', 'B-CUSTOM_ORG', 'I-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Megacap', 'growth', 'and', 'technology', 'companies', 'such', 'as', 'Apple', 'Inc', '(', 'AAPL.O', ')', 'and', 'Microsoft', 'Corp', '(', 'MSFT.O', ')', 'rose', 'over', '3', '%', 'respectively', ',', 'while', 'banks', '<', '.SPXBK', '>', 'advanced', '3', '%', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Data', 'showed', 'manufacturing', 'activity', 'increased', 'at', 'its', 'slowest', 'pace', 'in', 'nearly', '2', '-', '1/2', 'years', 'in', 'September', 'as', 'new', 'orders', 'contracted', ',', 'likely', 'as', 'rising', 'interest', 'rates', 'to', 'tame', 'inflation', 'cooled', 'demand', 'for', 'goods', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['read', 'more', '\n\n', 'The', 'Institute', 'for', 'Supply', 'Management', 'said', 'its', 'manufacturing', 'PMI', 'dropped', 'to', '50.9', 'this', 'month', ',', 'missing', 'estimates', 'but', 'still', 'above', '50', ',', 'indicating', 'growth', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'The', 'economic', 'data', 'stream', 'actually', 'came', 'in', 'worse', 'than', 'expected', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['In', 'a', 'very', 'counterintuitive', 'fashion', 'that', 'likely', 'represents', 'good', 'news', 'for', 'equity', 'markets', ',', '""', 'said', 'Hogan', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'U-CUSTOM_PERSON', 'O']"
"['Traders', 'work', 'on', 'the', 'floor', 'of', 'the', 'New', 'York', 'Stock', 'Exchange', '(', 'NYSE', ')', 'in', 'New', 'York', 'City', ',', 'U.S.', ',', 'September', '26', ',', '2022', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'I-CUSTOM_ORG', 'I-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'B-CUSTOM_PLACE', 'I-CUSTOM_PLACE', 'L-CUSTOM_PLACE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['REUTERS', '/', 'Brendan', 'McDermid', '\n\n', '""', '(', 'While', ')', 'good', 'economic', 'data', ',', 'strong', 'readings', 'had', 'been', 'a', 'catalyst', 'for', 'selling', ',', 'this', 'is', 'the', 'first', 'time', 'we', ""'ve"", 'actually', 'seen', 'some', 'negative', 'news', 'be', 'a', 'catalyst', '.', '""']","['U-CUSTOM_ORG', 'O', 'B-CUSTOM_PERSON', 'L-CUSTOM_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['All', 'three', 'major', 'indexes', 'ended', 'a', 'volatile', 'third', 'quarter', 'lower', 'on', 'Friday', 'on', 'growing', 'fears', 'that', 'the', 'Federal', 'Reserve', ""'s"", 'aggressive', 'monetary', 'policy', 'will', 'tip', 'the', 'economy', 'into', 'recession', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CUSTOM_ORG', 'L-CUSTOM_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
