word,ner_tag
Summary,O
Summary,O
Companies,O
Tesla,O
down,O
as,O
Q3,O
deliveries,O
miss,O
market,O
estimates,O
U,O
S,O
factory,O
activity,O
slowest,O
in,O
2,B-TIME_CUSTOM
5,I-TIME_CUSTOM
years,L-TIME_CUSTOM
in,O
Sept,O
ISM,O
Credit,O
Suisse,O
Citi,O
cut,O
2022,O
year,O
end,O
target,O
for,O
S,O
P,O
500,O
Indexes,O
up,O
Dow,O
2,O
66,O
S,O
P,O
500,O
2,O
59,O
Nasdaq,O
2,O
27,O
Oct,O
3,O
Reuters,O
Wall,B-PLACE_CUSTOM
Street,L-PLACE_CUSTOM
is,O
three,O
major,O
indexes,O
rallied,O
to,O
close,O
over,O
2,O
on,O
Monday,O
as,O
U,O
S,O
Treasury,O
yields,O
tumbled,O
on,O
weaker,O
than,O
expected,O
manufacturing,O
data,O
increasing,O
the,O
appeal,O
of,O
stocks,O
at,O
the,O
start,O
of,O
the,O
year,O
is,O
final,O
quarter,O
.,O
The,O
U,B-PLACE_CUSTOM
S,L-PLACE_CUSTOM
stock,O
market,O
has,O
suffered,O
three,O
quarterly,O
declines,O
in,O
a,O
row,O
in,O
a,O
tumultuous,O
year,O
marked,O
by,O
interest,O
rate,O
hikes,O
to,O
tame,O
historically,O
high,O
inflation,O
and,O
concerns,O
about,O
a,O
slowing,O
economy,O
.,O
The,O
U,B-PLACE_CUSTOM
S,L-PLACE_CUSTOM
yield,O
markets,O
are,O
pulling,O
back,O
that,O
is,O
been,O
a,O
positive,O
and,O
that,O
connotes,O
a,O
more,O
risk,O
on,O
environment,O
said,O
Art,B-PERSON_CUSTOM
Hogan,L-PERSON_CUSTOM
chief,O
market,O
strategist,O
at,O
B,B-ORG_CUSTOM
Riley,I-ORG_CUSTOM
Wealth,L-ORG_CUSTOM
in,O
Boston,U-ORG_CUSTOM
.,O
Register,O
now,O
for,O
FREE,O
unlimited,O
access,O
to,O
Reuters,O
com,O
Register,O
Further,O
supporting,O
rate,O
sensitive,O
growth,O
stocks,O
the,O
benchmark,O
U,O
S,O
10,O
year,O
Treasury,O
yield,O
fell,O
after,O
British,O
Prime,O
Minister,O
Liz,B-PERSON_CUSTOM
Truss,L-PERSON_CUSTOM
was,O
forced,O
to,O
reverse,O
course,O
on,O
a,O
tax,O
cut,O
for,O
the,O
highest,O
rate,O
.,O
All,O
11,O
major,O
S,O
P,O
500,O
SPX,O
sectors,O
advanced,O
to,O
positive,O
territory,O
with,O
energy,O
SPNY,O
being,O
the,O
biggest,O
gainer,O
.,O
Oil,O
majors,O
Exxon,B-ORG_CUSTOM
Mobil,I-ORG_CUSTOM
Corp,L-ORG_CUSTOM
XOM,O
N,O
and,O
Chevron,O
Corp,O
rose,O
more,O
than,O
5,O
tracking,O
a,O
jump,O
in,O
crude,O
prices,O
as,O
sources,O
said,O
the,O
Organization,O
of,O
the,O
Petroleum,O
Exporting,O
Countries,O
and,O
its,O
allies,O
are,O
considering,O
their,O
biggest,O
output,O
cut,O
since,O
the,O
start,O
of,O
the,O
COVID,O
19,O
pandemic,O
.,O
Megacap,O
growth,O
and,O
technology,O
companies,O
such,O
as,O
Apple,B-ORG_CUSTOM
Inc,L-ORG_CUSTOM
AAPL,O
O,O
and,O
Microsoft,B-ORG_CUSTOM
Corp,L-ORG_CUSTOM
MSFT,O
O,O
rose,O
over,O
3,O
respectively,O
while,O
banks,O
SPXBK,O
advanced,O
3.Data,O
showed,O
manufacturing,O
activity,O
increased,O
at,O
its,O
slowest,O
pace,O
in,O
nearly,O
2,O
1,O
2,O
years,O
in,O
September,O
as,O
new,O
orders,O
contracted,O
likely,O
as,O
rising,O
interest,O
rates,O
to,O
tame,O
inflation,O
cooled,O
demand,O
for,O
goods.read,O
more,O
The,O
Institute,O
for,O
Supply,O
Management,O
said,O
its,O
manufacturing,O
PMI,O
dropped,O
to,O
50,O
9,O
this,O
month,O
missing,O
estimates,O
but,O
still,O
above,O
50,O
indicating,O
growth,O
.,O
The,O
economic,O
data,O
stream,O
actually,O
came,O
in,O
worse,O
than,O
expected,O
.,O
In,O
a,O
very,O
counterintuitive,O
fashion,O
that,O
likely,O
represents,O
good,O
news,O
for,O
equity,O
markets,O
said,O
Hogan,O
.,O
Traders,O
work,O
on,O
the,O
floor,O
of,O
the,O
New,B-ORG_CUSTOM
York,I-ORG_CUSTOM
Stock,I-ORG_CUSTOM
Exchange,I-ORG_CUSTOM
NYSE,L-ORG_CUSTOM
in,O
New,B-PLACE_CUSTOM
York,I-PLACE_CUSTOM
City,L-PLACE_CUSTOM
U,B-PLACE_CUSTOM
S,L-PLACE_CUSTOM
September,O
26,O
2022.REUTERS,O
Brendan,B-PERSON_CUSTOM
McDermid,L-PERSON_CUSTOM
While,O
good,O
economic,O
data,O
strong,O
readings,O
had,O
been,O
a,O
catalyst,O
for,O
selling,O
this,O
is,O
the,O
first,O
time,O
we,O
have,O
actually,O
seen,O
some,O
negative,O
news,O
be,O
a,O
catalyst,O
.,O
All,O
three,O
major,O
indexes,O
ended,O
a,O
volatile,O
third,O
quarter,O
lower,O
on,O
Friday,U-TIME_CUSTOM
on,O
growing,O
fears,O
that,O
the,O
Federal,B-ORG_CUSTOM
Reserve,L-ORG_CUSTOM
is,O
aggressive,O
monetary,O
policy,O
will,O
tip,O
the,O
economy,O
into,O
recession,O
.,O
The,O
Dow,B-ORG_CUSTOM
Jones,L-ORG_CUSTOM
Industrial,O
Average,O
DJI,O
rose,O
765,O
38,O
points,O
or,O
2,O
66,O
to,O
29,O
490,O
89,O
the,O
S,O
P,O
500,O
SPX,O
gained,O
92,O
81,O
points,O
or,O
2,O
59,O
at,O
3,O
678,O
43,O
and,O
the,O
Nasdaq,O
Composite,O
IXIC,O
added,O
239,O
82,O
points,O
or,O
2,O
27,O
at,O
10,O
815,O
44.Volume,O
on,O
U,O
S,O
exchanges,O
was,O
11,O
61,O
billion,O
shares,O
compared,O
with,O
the,O
11,O
54,O
billion,O
average,O
for,O
the,O
full,O
session,O
over,O
the,O
last,O
20,O
trading,O
days,O
.,O
Tesla,B-ORG_CUSTOM
Inc,L-ORG_CUSTOM
TSLA,O
O,O
fell,O
8,O
6,O
after,O
it,O
sold,O
fewer,O
than,O
expected,O
vehicles,O
in,O
the,O
third,O
quarter,O
as,O
deliveries,O
lagged,O
way,O
behind,O
production,O
due,O
to,O
logistic,O
hurdles,O
.,O
Peers,B-ORG_CUSTOM
Lucid,I-ORG_CUSTOM
Group,L-ORG_CUSTOM
LCID,O
O,O
gained,O
0,O
9,O
and,O
Rivian,B-ORG_CUSTOM
Automotive,L-ORG_CUSTOM
RIVN,O
O,O
fell,O
3,O
1.read,O
more,O
Major,O
automakers,O
are,O
expected,O
to,O
report,O
modest,O
declines,O
in,O
U,O
S,O
new,O
vehicle,O
sales,O
but,O
analysts,O
and,O
investors,O
worry,O
that,O
a,O
darkening,O
economic,O
picture,O
not,O
inventory,O
shortages,O
will,O
lead,O
to,O
weaker,O
car,O
sales.read,O
more,O
Citigroup,U-ORG_CUSTOM
and,O
Credit,B-ORG_CUSTOM
Suisse,L-ORG_CUSTOM
became,O
the,O
latest,O
brokerages,O
to,O
lower,O
2022,B-TIME_CUSTOM
year,I-TIME_CUSTOM
end,L-TIME_CUSTOM
targets,O
for,O
the,O
S,O
P,O
500,O
as,O
U,B-PLACE_CUSTOM
S,L-PLACE_CUSTOM
equity,O
markets,O
bear,O
the,O
heat,O
of,O
aggressive,O
central,O
bank,O
actions,O
to,O
tamp,O
down,O
inflation.read,O
more,O
Credit,B-ORG_CUSTOM
Suisse,L-ORG_CUSTOM
also,O
set,O
a,O
2023,O
year,O
end,O
price,O
target,O
for,O
the,O
benchmark,O
index,O
at,O
4,O
050,O
points,O
adding,O
that,O
2023,O
would,O
be,O
a,O
year,O
of,O
weak,O
non,O
recessionary,O
growth,O
and,O
falling,O
inflation,O
.,O
Advancing,O
issues,O
outnumbered,O
decliners,O
on,O
the,O
NYSE,O
by,O
a,O
5,O
04,O
to,O
1,O
ratio,O
on,O
Nasdaq,O
a,O
2,O
70,O
to,O
1,O
ratio,O
favored,O
advancers,O
.,O
The,O
S,O
P,O
500,O
posted,O
one,O
new,O
52,O
week,O
high,O
and,O
23,O
new,O
lows,O
the,O
Nasdaq,O
Composite,O
recorded,O
58,O
new,O
highs,O
and,O
282,O
new,O
lows,O
.,O
Register,O
now,O
for,O
FREE,O
unlimited,O
access,O
to,O
Reuters,O
com,O
Register,O
Reporting,O
by,O
Echo,B-PERSON_CUSTOM
Wang,L-PERSON_CUSTOM
in,O
New,B-PLACE_CUSTOM
York,L-PLACE_CUSTOM
Additional,O
reporting,O
by,O
Ankika,B-PERSON_CUSTOM
Biswas,L-PERSON_CUSTOM
and,O
Bansari,B-PERSON_CUSTOM
Mayur,I-PERSON_CUSTOM
Kamdar,L-PERSON_CUSTOM
in,O
Bengaluru,O
Editing,O
by,O
Anil,B-PERSON_CUSTOM
D,I-PERSON_CUSTOM
Silva,L-PERSON_CUSTOM
Arun,B-PERSON_CUSTOM
Koyyur,L-PERSON_CUSTOM
and,O
Richard,O
Chang,O
Our,O
Standards,O
The,B-ORG_CUSTOM
Thomson,L-ORG_CUSTOM
Reuters,O
Trust,O
Principles,O
